t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
996932956.995,996933056.995,996932991.2951224,996932958.02,996933025.955,47.835564157222514,1.1129156198367747,9.854126216387838e-15,2.292606176863756e-16,15.880622749355108,0.024970769851787367,0.025558617194310074,54.31496491855145,1.055326849253382,1.1188882773221599e-14,2.173973309461967e-16,15.742701241583315,0.02089327154853038,0.021303231353179797,56.05317901378623,1.0393349455105663,1.1546954876839963e-14,2.1410299877517664e-16,15.708499379216057,0.019947296095716993,0.020320640416773728,2533.0,2908.636415141965,314.0,273.7494758831921,51.89065930456127,426.41745281804884,90.19707541421417,0.8709250686357698,417.31573486328125,569.1776733398438,170.06151778264928,10.205978374667916,40.18556491987012,0.0
996933056.995,996933156.995,996933105.7483344,996933059.03,996933156.985,38.704475761227904,0.8995404751659167,7.973122006812948e-15,1.8530533788417883e-16,16.110597026340997,0.024945101057550545,0.025531726209248262,48.009007313923256,0.8278410363143214,9.889855506668191e-15,1.705352534807502e-16,15.876693184699167,0.01856225796189115,0.018885135135576547,49.74722140915804,0.8137465674659918,1.0247927610286555e-14,1.676317928979943e-16,15.838077928520255,0.017616378043216585,0.017906929536001925,3209.0,3737.3116777947535,618.0,532.5812627669569,75.12603863955196,829.5977362331437,130.58513928242192,0.8588996740899312,418.2259216308594,577.0707397460938,178.00626700631383,10.206131145165083,40.18564471018752,0.0
996933156.995,996933256.995,996933224.8731887,996933157.025,996933256.99,47.791654036529906,1.129131322725319,9.845080731525161e-15,2.326010524814157e-16,15.881619846458683,0.025353397584609638,0.02595961770406774,53.47378190841038,1.0766952786500796,1.1015599073132539e-14,2.217992274019164e-16,15.75964774884438,0.021644133808846888,0.022084400862024012,55.21199600364516,1.0601366952225206,1.1373671176750903e-14,2.1838815921583925e-16,15.724916380306704,0.020649818084962135,0.02105018781047363,2388.0,2712.3339571609804,268.0,234.01945213493246,49.12580876412997,364.5303004409522,85.39117323361899,0.8806586687198767,401.3267822265625,580.9905395507812,180.99540258791004,10.205925467990287,40.18555415057015,4.0
996933256.995,996933356.995,996933307.6848881,996933257.015,996933356.98,42.59523695876329,1.0824214775492842,8.774618813505237e-15,2.2297882437515254e-16,16.00659740354462,0.02724577291871988,0.02794712373603403,49.71574836361599,1.0165200277888833,1.0241444162904893e-14,2.0940312572450996e-16,15.838765047077796,0.02197575046864131,0.02242975379461498,51.45396245885077,0.9997731556976615,1.0599516266523259e-14,2.0595327007371826e-16,15.801452936716945,0.02089399401865677,0.02130398245495968,2323.0,2648.7118067823285,336.0,292.7557619793994,51.4773144808931,456.0233984679103,89.47859361552183,0.8771320197810926,391.7690734863281,577.733154296875,177.92364173316105,10.206128175656268,40.18560754611489,0.0
996933356.995,996933456.995,996933394.6940625,996933357.01,996933456.955,45.14111081751799,1.0930507966261036,9.299068828408706e-15,2.2516846410497735e-16,15.943569395379647,0.025976862303544124,0.02661364004727318,52.53916376041512,1.0273145800527959,1.0823067734645515e-14,2.1162680349087594e-16,15.778792109857335,0.021024847799179014,0.021440038814709794,54.2773778556499,1.0112497244685406,1.1181139838263879e-14,2.0831744324051935e-16,15.743452853264394,0.020042377406813472,0.020419323131688927,2512.0,2880.851583859554,356.0,311.30717877675846,53.07646938142715,484.9207977099503,92.25826720409388,0.8722438248147737,386.9707946777344,572.9522094726562,173.44228709516986,10.20598431375943,40.185583499264986,0.0
996933456.995,996933556.995,996933508.8331641,996933457.0,996933555.91,39.377712934510576,0.937492982264204,8.111808864509178e-15,1.93123554346426e-16,16.091873778440764,0.02554598437578548,0.026161561543666778,47.3782999519649,0.8714467391050145,9.75992979010477e-15,1.7951802825563297e-16,15.89105131717617,0.019788911325994363,0.020156295586897244,49.11651404719968,0.8564242354159819,1.0118001893723134e-14,1.7642339249569227e-16,15.851931160031036,0.01876837406227949,0.01909852548556401,2887.0,3289.100734539077,481.0,418.67155956269124,66.96527223773124,652.1614677803456,116.39998009485872,0.8779916219280849,370.9190368652344,562.9609985351562,165.53546284836005,10.20601716321,40.18557924252353,0.0
996933556.995,996933656.995,996933632.158539,996933587.01,996933656.98,43.33990785934205,1.3197987017496395,8.928021019024462e-15,2.718785325604257e-16,15.987780040813565,0.032569703789746995,0.03357701854048756,49.47822029164133,1.249372279872059,1.0192513380078114e-14,2.5737068965364416e-16,15.843964825326578,0.027075455508205337,0.027767953318166505,51.2164343868761,1.228696132556649,1.0550585483696476e-14,2.5311140330666967e-16,15.806476649401796,0.02573957582988129,0.02636463283604762,1516.0,1737.5195422709016,197.0,171.54316650414364,33.92503916118242,267.2114709006851,58.96898125135917,0.8727909754017568,366.35528564453125,548.8092041015625,152.5652189373501,10.206033474910315,40.185647799703666,4.0
996933656.995,996933756.995,996933712.9368347,996933657.015,996933756.985,45.87552598632824,1.1231470400990318,9.450358353183617e-15,2.3136829026040053e-16,15.926047358258334,0.026261348553168418,0.026912325530320302,51.82729707871782,1.0671888484838346,1.067642319821587e-14,2.198409027876699e-16,15.793603600243795,0.02212960187211266,0.02259005120035873,53.5655111739526,1.0502839095577274,1.1034495301834236e-14,2.1635848536889185e-16,15.757786865683673,0.02108251665736205,0.02150001113276545,2240.0,2601.1002045604287,279.0,239.72628626591097,48.559234245210945,373.41979206805337,84.40634541883307,0.861308841552149,369.59661865234375,540.100341796875,143.36133149832352,10.206167372613946,40.18566666586639,4.0
996933756.995,996933856.995,996933795.1281389,996933757.025,996933856.975,44.77892329348128,1.1461998013041876,9.224458198457142e-15,2.3611715906866263e-16,15.952315883040384,0.02744170562732151,0.028153312276829823,52.08533724109972,1.0775387706056023,1.0729579471666543e-14,2.2197298674475408e-16,15.788211298830387,0.022232467384647236,0.022697252405802004,53.8235513363345,1.0605497887836435,1.1087651575284907e-14,2.1847325648943056e-16,15.752569126013984,0.021185515662601517,0.02160714038340572,2203.0,2575.624666140937,324.0,277.8556690695157,47.85311638108535,432.8136383582838,83.1789613945129,0.8555134129639885,373.9119873046875,531.5772705078125,134.13859444871505,10.20611100822376,40.18562151261806,4.0
996933856.995,996933956.995,996933903.6896456,996933856.995,996933951.985,47.52717126404568,0.9423884036384002,9.79059728039341e-15,1.9413201114951043e-16,15.887645083502226,0.021317769245909446,0.021744727724636093,53.22333320175659,0.8983435234120075,1.0964006639561857e-14,1.8505876582287355e-16,15.764744826256006,0.018172933413296732,0.018482295390064962,54.96154729699136,0.8844663219078032,1.132207874318022e-14,1.8220006231300745e-16,15.729852623409919,0.017333068153419617,0.017614274592121504,3287.0,3861.4934248069444,393.0,335.31979953792563,70.25809160613507,522.325072357153,122.12360513408034,0.8513756077945407,389.2346496582031,522.6396484375,123.11123481167436,10.206122997497305,40.185601457545346,0.0
