t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
939897678.995,939897778.995,939897729.2175341,939897678.995,939897778.985,66.32378692992168,0.9770591652249622,1.3662700107563867e-14,2.012741880363422e-16,15.525826711428877,0.015878021771271733,0.01611367562425059,69.33949037492884,0.9575331100137948,1.428393501723534e-14,1.9725182066284172e-16,15.477548386514801,0.014890727818567484,0.015097795367278621,71.26815993458173,0.9448338368627085,1.4681240946523836e-14,1.9463577039371795e-16,15.447761135159071,0.014299510506452506,0.01449035615969585,5487.0,5689.580097416967,262.0,253.40444065077094,79.83340811155402,394.72614793677747,153.9722640681,0.964545122582254,164.3792266845703,589.0384521484375,302.0805938957983,10.206360592902387,40.18570682072311,32.0
939897778.995,939897878.995,939897830.2551287,939897779.01,939897878.99,63.35271708263289,0.954603735342756,1.3050659719022376e-14,1.9664836948060774e-16,15.575586885704716,0.016237926486123655,0.016484467623198995,66.227190690909,0.9356098058639006,1.3642801282327253e-14,1.9273562000796353e-16,15.527409167543318,0.015231159248022763,0.015447872029159981,68.15586025056189,0.9226463855247041,1.4040107211615749e-14,1.9006515541808904e-16,15.496241990620156,0.014599341278028533,0.014798329915844732,5250.0,5456.772376728043,255.0,246.874646413881,80.06314287087378,384.55473768316045,154.4153465051942,0.9622930296953717,162.6963348388672,589.2498779296875,303.5268452629992,10.2063554795052,40.18571691683041,32.0
939897878.995,939897978.995,939897928.3388867,939897879.01,939897978.98,62.72715304451069,0.943092135856628,1.2921793527169203e-14,1.9427697998646537e-16,15.586361057623943,0.016202363227304062,0.016447817447129864,65.10702738013124,0.9272290690331699,1.3412047640307036e-14,1.91009188220833e-16,15.545930332431292,0.015353562468511939,0.015573797656390553,67.03569693978413,0.9141716045213941,1.380935356959553e-14,1.883193505314072e-16,15.514234677743572,0.0147062299535623,0.014908163235112681,5183.0,5377.207591516917,229.0,221.8704789237705,80.21409244610491,345.60593832356534,154.70647835598504,0.9640774972531637,162.4005584716797,588.2228393554688,303.11933602065756,10.206373377485042,40.18573288382518,32.0
939897978.995,939898078.995,939898028.8048472,939897979.005,939898078.975,63.340379643687704,0.9507968451784887,1.3048118206599667e-14,1.9586415010676868e-16,15.575798344805886,0.016176777694123956,0.016421451452837132,66.04698862628157,0.9329078426760178,1.3605679657014004e-14,1.9217901559125966e-16,15.530367447500739,0.015228627285697627,0.015445267508395588,67.97565818593446,0.9199483038217248,1.40029855863025e-14,1.895093505872753e-16,15.49911644647379,0.014595265462981288,0.014794142251309594,5271.0,5459.841016756127,247.0,239.0125673979643,80.3205318265808,372.30803767759795,154.9117647490572,0.9655952843587301,162.9468231201172,587.9078369140625,302.4955600377746,10.206392302939678,40.18574830437756,32.0
939898078.995,939898178.995,939898129.9816072,939898079.0,939898178.985,63.48307600767555,0.9579946916701458,1.3077513657581162e-14,1.9734690648405003e-16,15.573355095278377,0.016261964487831904,0.016509241677308495,66.6950674973893,0.9369051309903093,1.3739183904462197e-14,1.930024569840037e-16,15.519765708982113,0.015145845781692202,0.01536012052137714,68.62373705704219,0.9240104513827211,1.413648983375069e-14,1.9034615298484055e-16,15.488814087928567,0.014521759819796642,0.014718624918881318,5332.0,5515.627936809198,274.0,265.25152660489573,80.37492817134742,413.1802625960873,155.01667732336495,0.9668401715843589,164.59852600097656,588.1776123046875,301.3713120613941,10.206413772401794,40.18575466497056,32.0
939898178.995,939898278.995,939898228.8050413,939898179.0,939898278.975,63.24212990227349,0.9578338296342093,1.3027878759868338e-14,1.9731376890464712e-16,15.577483780229242,0.016320737043246325,0.016569818560816074,66.55657671094465,0.9360566340891343,1.3710654802454599e-14,1.9282766662236167e-16,15.522022559408267,0.015163492515709365,0.015378270406714023,68.48524627059754,0.9231481168253797,1.4107960731743093e-14,1.901685120660282e-16,15.491007445480435,0.01453744062595419,0.014734734004807848,5324.0,5503.655828459705,280.0,270.4967597776765,80.36264930279683,421.35072196138043,154.99299544336444,0.9674723028754811,164.65145874023438,589.4566040039062,302.13033722847587,10.206390863253468,40.185742888962544,32.0
939898278.995,939898378.995,939898329.3787853,939898279.01,939898378.99,63.2312027688129,0.953190417840707,1.3025627770375457e-14,1.9635722607518564e-16,15.577671392656168,0.016244991765248074,0.01649174912818374,66.20343976005618,0.9335928799648615,1.3637908590571574e-14,1.9232013327276147e-16,15.527798612881035,0.015203968247714528,0.015419902460735102,68.13210931970907,0.9206529893087206,1.4035214519860068e-14,1.8965451579759644e-16,15.496620413541358,0.014573054266383778,0.014771322089840666,5309.0,5476.608976455704,262.0,252.90338700836043,80.38220203570661,393.94566053225344,155.03070620413558,0.969508960421686,164.10182189941406,589.9935913085938,302.8952214372368,10.206487055558313,40.18572534351654,32.0
939898378.995,939898478.995,939898429.0858939,939898379.025,939898478.975,62.71558572392238,0.952066745643524,1.291941065912801e-14,1.9612574960256593e-16,15.586561293347648,0.01635838587638183,0.016608626719204267,65.87751406284468,0.9311897020485261,1.3570767896946004e-14,1.9182507862199637e-16,15.533156994048625,0.0152396079780317,0.015456562963569453,67.80618362249756,0.9182223716771674,1.3968073826234496e-14,1.8915380856549646e-16,15.501826746502262,0.01460423348520834,0.01480335641822883,5285.0,5453.092483113382,272.0,262.8213734646965,80.4217578956042,409.3948317430846,155.10699638702596,0.9693133482813624,162.97837829589844,589.6119995117188,303.53246863239235,10.206405554326151,40.185770511581886,32.0
939898478.995,939898578.995,939898528.0682569,939898479.005,939898578.98,62.21874752493129,0.9442675133640838,1.2817061990135845e-14,1.9451910775300124e-16,15.595196838921947,0.016353970288317754,0.01660407501991301,65.0572460535156,0.9254017926164827,1.3401792687024212e-14,1.9063276927899543e-16,15.546760812098821,0.015335160972789197,0.015554864779881328,66.98591561316849,0.9123605793380521,1.3799098616312708e-14,1.8794627934363874e-16,15.515041254982625,0.014688126266154455,0.014889559272505792,5229.0,5390.561080531632,255.0,246.2800671760334,80.47305215115883,383.62856617805176,155.2059260562992,0.9701558639658135,162.89385986328125,588.4193725585938,302.8550505537384,10.2064443010856,40.18576660257559,32.0
939898578.995,939898678.995,939898628.4245574,939898579.0,939898678.985,65.94789939216815,0.9664618069509896,1.358526727478664e-14,1.9909113223190386e-16,15.531997583194688,0.01579592395916052,0.016029129260550334,68.64216340664197,0.9489892427393407,1.4140285661768245e-14,1.9549178400430417e-16,15.48852259302802,0.014907667636737898,0.015115209867875734,70.57083296629486,0.936281404655873,1.453759159105674e-14,1.9287396935910982e-16,15.458436891106086,0.014310022823458723,0.014501151060528628,5503.0,5681.1687709189655,248.0,238.91775514468188,80.50307091645543,372.16034935998493,155.26382233514514,0.9687698598381885,164.04779052734375,587.8190307617188,301.5782377282879,10.206414320295112,40.185741350763045,32.0
