t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
939306216.995,939306316.995,939306254.4591037,939306218.055,939306292.56,5.346904464602805,0.360099585001148,1.1014623197081778e-15,7.418051451023649e-17,18.259743938882536,0.07076439067723328,0.07570012170755902,4.833837658108305,0.37218380371202703,9.957705575703107e-16,7.666986356467756e-17,18.369269848087185,0.08053473347630558,0.08699046774526309,6.4326173740153365,0.3330855406938105,1.3251191790471592e-15,6.861562138292497e-17,18.05903070151455,0.05481301098869551,0.057728042928950174,318.0,372.9613929498831,40.0,34.19470159453704,57.97972602201815,62.94933702630681,92.69680989784976,0.8527942352148414,599.1713256835938,338.1175231933594,208.56331870749608,10.291923194351316,40.20306400769745,0.0
939306316.995,939306416.995,939306379.8144442,939306342.425,939306416.95,5.490156205186219,0.37414806482842283,1.130972178268361e-15,7.70745013546551e-17,18.23103824721478,0.07157948629071953,0.07663368569359008,5.212635059820102,0.380478270194065,1.073802822322941e-15,7.837852365997739e-17,18.287356698163112,0.07649074635014941,0.08229075820740306,6.811414775727135,0.3424092610291218,1.4031514437997898e-15,7.053630777199909e-17,17.996906682231067,0.0532523161422489,0.055999514348883395,342.0,395.7160355218142,48.0,41.69671079211899,58.09601214302363,76.75985395821905,92.88272578935484,0.8644222413698652,614.9581298828125,349.629150390625,220.78093235849505,10.291791955259415,40.202834773825565,0.0
939306416.995,939306516.995,939306477.0222573,939306417.1,939306516.93,4.669147857288986,0.43508601436031463,9.618444586015311e-16,8.962771895822481e-17,18.406905932763483,0.09673234569428146,0.1062010745924411,4.7675470316515005,0.43242318265429713,9.82114688520209e-16,8.90791756267852e-17,18.38426253490994,0.09426467486247603,0.10323369200829902,6.366326747558533,0.3865962514991286,1.3114633099970578e-15,7.963882780882048e-17,18.07027768815653,0.06400718230186442,0.0680182844442534,237.0,271.1830694125093,45.0,39.27072564264313,42.59647362845572,72.29383584213848,68.10237800634384,0.8740722807265766,609.5184326171875,361.435791015625,213.03795863872122,10.291944018692414,40.20296218552205,4.0
939306516.995,939306616.995,939306553.7392322,939306517.305,939306616.9,5.032630291556976,0.389860390252369,1.036721840060737e-15,8.031124039198802e-17,18.32551243172333,0.08100946767484274,0.0875446675701923,4.62601858622711,0.40040424103972255,9.529598287627845e-16,8.248327365418285e-17,18.41698156667849,0.09012911428016324,0.09829378778240994,6.224798302134142,0.3571565357559146,1.2823084502396333e-15,7.35742463657184e-17,18.094686790375462,0.0605740355135147,0.06415423147586452,267.0,303.76194431232057,36.0,31.601900544126078,48.79868062683689,58.17622600168664,78.0183407492123,0.8791195351492241,610.4902954101562,366.48858642578125,213.1412191519913,10.291925946804618,40.20286709710332,4.0
939306616.995,939306716.995,939306658.879537,939306617.1,939306705.81,4.958827250396931,0.33058397310991455,1.0215184135817677e-15,6.81002984606424e-17,18.341552552173084,0.0700708832001169,0.07490700038687237,4.6482162030725815,0.33732875676851537,9.575325378329517e-16,6.948972389431416e-17,18.411784199383348,0.07606579211901021,0.08179909078370784,6.246995918979615,0.3010031458974045,1.2868811593098007e-15,6.200664805486533e-17,18.090821944421485,0.051093466216734384,0.05361711303807937,378.0,430.7252931744787,55.0,48.246914283201384,68.9491875392218,88.81818311225709,110.23456246597775,0.8778742285243799,608.3162231445312,380.1190490722656,209.26275596721248,10.291807403975605,40.20282848125611,0.0
939306716.995,939306816.995,939306792.5021052,939306759.595,939306816.97,4.459364533303008,0.4513980694016722,9.186290938604197e-16,9.298800229674448e-17,18.456817561371427,0.1046899110420263,0.1158722411883879,4.5768880837948265,0.44802445802387125,9.428389452617341e-16,9.229303835291747e-17,18.42857426753596,0.10139553578415672,0.11184938599007666,6.175667799701859,0.39930883405727485,1.2721875667385829e-15,8.225761981579861e-17,18.103290183816746,0.06802571822408865,0.0725743807685113,209.0,239.19385389568595,41.0,36.11002394242324,38.73165812241932,66.47527134855187,61.923389369569875,0.8739932639121151,612.2976684570312,386.8323974609375,212.70563177527362,10.291830947612874,40.202577730143204,4.0
939306816.995,939306916.995,939306865.5231187,939306817.535,939306916.73,4.810364163880948,0.425449515193337,9.909350177594753e-16,8.764260012982742e-17,18.37455511136407,0.09201556989315662,0.1005420277700324,4.384416510122128,0.4379285001763692,9.031898010851585e-16,9.021327103633205e-17,18.475220488809537,0.10336618470365266,0.11425254197015988,5.983196226029161,0.38902600371938084,1.2325384225620072e-15,8.013935676619245e-17,18.137666884302114,0.06839416757939887,0.07299392276272343,202.0,236.542525178553,29.0,25.187175600960288,39.53447559508474,46.36730053813144,63.206917660443104,0.8552483876899107,598.6550903320312,390.2336120605469,198.89501564446354,10.291821917911173,40.202796630068995,4.0
939306916.995,939307016.995,939306947.973931,939306917.105,939306980.945,5.73128947218313,0.4117352535988185,1.1806456312697248e-15,8.481746224135661e-17,18.184369139823627,0.07532479823854388,0.08094276088642616,5.477231406773403,0.4179002366454529,1.128309669795321e-15,8.608744874896329e-17,18.233597275593976,0.07983104487659531,0.08616995420451445,7.076011122680436,0.37743082333779565,1.4576582912721698e-15,7.775074960758591e-17,17.95552873275127,0.056420915615770895,0.05951434762155827,304.0,351.4813492585349,42.0,36.283889263362134,49.672243749299206,66.7953415984621,79.41497574996947,0.8656353071952965,586.2742309570312,391.22857666015625,186.48063434587564,10.291834685130736,40.20265397799996,4.0
939307016.995,939307116.995,939307067.0732236,939307018.0,939307116.93,4.898565773364328,0.31368136932223306,1.0091045493130516e-15,6.461836208038001e-17,18.354827640688537,0.06739014052337922,0.07185138297112204,4.483861427784416,0.3225079289453852,9.236754541235896e-16,6.643663336274936e-17,18.45086954398308,0.07541239930484878,0.08104393145028865,6.082641143691449,0.28698930580177645,1.2530240756004384e-15,5.911979699516595e-17,18.119769511905247,0.05005510279012526,0.052474767553473356,380.0,449.2136691727036,56.0,47.50154910298306,73.85174606899194,87.44603357594609,118.07267359942126,0.8460457236856933,560.18359375,388.72015380859375,160.5802560614686,10.291812245290366,40.20270423319445,0.0
939307116.995,939307216.995,939307185.7425365,939307117.09,939307216.675,5.68934097918382,0.4146259931643433,1.172004241711867e-15,8.541295459185471e-17,18.192345092219572,0.07637552984640195,0.08215741294762324,5.321512877025721,0.42387785189923827,1.0962316526672984e-15,8.731883749124308e-17,18.264912206508804,0.08321112964648592,0.09012174825662456,6.920292592932754,0.38203820953796097,1.4255802741441474e-15,7.869987116481996e-17,17.97968885749619,0.0583426150183719,0.06165660841042708,274.0,328.1219712152974,38.0,31.704396781161428,47.41446504016132,58.36491225622899,75.80528494679305,0.8351863890007728,549.8505859375,377.3040466308594,151.5595737825436,10.291816477006071,40.202733363648804,4.0
