t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
965695500.995,965695600.995,965695540.615625,965695501.095,965695577.97,0.43438990429334867,0.2553234836976852,8.948432028442983e-17,5.259663764172315e-17,20.985300691977116,0.5019723323235432,0.9621639268354478,,,,,,,,1.9832593802798235,0.19132082747821072,4.0855143233764364e-16,3.941209046051141e-17,19.336551207354074,0.09998978466063946,0.11014100957163109,96.0,107.45695578062944,60.0,53.875108992646354,54.18199800243377,83.92084285392983,,0.8935851568086601,207.6591033935547,428.6335144042969,194.4605323825695,10.257958038795277,40.20858642546238,0.0
965695600.995,965695700.995,965695658.1916853,965695613.81,965695696.65,0.2906778505037585,0.23051976137328067,5.987963720377425e-17,4.748707084289582e-17,21.42147014993824,0.6339761927170855,1.7102947680238856,,,,,,,,1.6921647095120422,0.17048798539533974,3.485859301594807e-16,3.5120524991439986e-17,19.50889341625856,0.10422312898721131,0.11530058971920809,89.0,98.51394465396811,58.0,52.37963050163186,58.21770428150336,81.59134751215726,,0.9035797649834391,193.9218292236328,415.04107666015625,206.62634502316072,10.257466704628325,40.208109113856565,0.0
965695700.995,965695800.995,965695769.5492612,965695733.845,965695800.955,0.7722469841045441,0.23558649815253516,1.5908287872553608e-16,4.853081861942224e-17,20.360609447738863,0.2890814037297602,0.39514150332411546,,,,,,,,1.8545452978099297,0.18720985595728248,3.820363313488455e-16,3.856523032720019e-17,19.409406386091003,0.10441553734457898,0.11553615919456561,88.0,98.13354165577412,41.0,36.76591119543859,52.9151494825508,57.26997705443314,,0.897209673451426,194.54884338378906,399.8549499511719,205.45120781941267,10.25793812724787,40.20814232705,0.0
965695800.995,965695900.995,965695859.0288709,965695801.625,965695900.29,0.22826882634576895,0.2209752914694449,4.7023378227228404e-17,4.5520910042705645e-17,21.68388348529566,0.7350894837375144,3.738771354676551,,,,,,,,1.3686754019455472,0.16320615037761926,2.819471328007827e-16,3.362046697778957e-17,19.73924884471082,0.1223118102350007,0.13786081250111337,62.0,70.32793768747442,42.0,37.618845023844095,51.38394215860425,58.59858551791095,,0.8818812044857397,202.9408416748047,389.51873779296875,197.33770227021225,10.257918204893468,40.208033270156825,0.0
965695900.995,965696000.995,965695951.497097,965695901.41,965695999.205,0.02822198234286474,0.2558889490174726,5.813728362630136e-18,5.271312349759936e-17,23.953531210478744,2.5072510700249353,,,,,,,,,1.5211016595923326,0.18178597392516432,3.133469418760205e-16,3.744791062858385e-17,19.624604399573933,0.12256937862117923,0.13818821244376522,62.0,70.01574878927269,50.0,44.11442555368337,46.02963145016716,68.7167013432375,,0.8858026691143772,211.7776336669922,381.6556701660156,189.11418144881415,10.25791847471153,40.2080515946741,4.0
965696000.995,965696100.995,965696044.3068519,965696006.34,965696100.935,0.08066357550180615,0.25537949705916396,1.6616696553372068e-17,5.2608176394187776e-17,22.813306328301515,1.5492936957096148,,,,,,,,,1.4423562186736978,0.183159523253202,2.9712538104678174e-16,3.773086179015961e-17,19.682318671685078,0.12979662087461463,0.14744739013125852,54.0,62.01347293626186,43.0,37.58468704076263,42.99456135273272,58.54537789041867,,0.8712488552526337,222.49559020996094,376.46173095703125,179.058274325565,10.257402565560758,40.208419611119226,4.0
965696100.995,965696200.995,965696137.9113514,965696101.935,965696199.84,0.5766378149866043,0.2304053528799941,1.1878738988724047e-16,4.746350269327879e-17,20.677742201689192,0.3649841149034678,0.5538383380986716,,,,,,,,1.654795723995578,0.17928692881228284,3.4088791914308903e-16,3.6933107335330264e-17,19.533139024988092,0.11168628305256689,0.1245064685680326,74.0,85.19057006210592,41.0,35.63262622188254,51.48101897218437,55.5046677687016,,0.8688937626989347,234.11929321289062,376.252685546875,167.57190643997149,10.257409409592153,40.20837541823617,0.0
965696200.995,965696300.995,965696237.3885064,965696201.13,965696274.955,0.08963760142833409,0.2250567902112898,1.8465345894236823e-17,4.63616987835257e-17,22.698774432673314,1.363496940562758,,,,,,,,,1.5229442755255098,0.16153382546952344,3.1372652075825503e-16,3.3275968046721826e-17,19.62328996798052,0.1094533912854807,0.1217373323091131,77.0,88.88757726693504,62.0,53.70497320693842,58.365613696708195,83.6558236492694,,0.8664470192937446,245.9750213623047,385.1473388671875,154.73944418624703,10.258157849897687,40.20816191385411,0.0
965696300.995,965696400.995,965696359.466221,965696314.16,965696397.735,0.24631393108578525,0.22004794353719787,5.0740669803671764e-17,4.532987636866276e-17,21.601277561321993,0.6930851597086125,2.430238103553453,,,,,,,,1.6127030265610822,0.16190212469507093,3.322168234715829e-16,3.335183768718461e-17,19.5611139975228,0.10386834211832863,0.11486646027632474,86.0,99.22102418439133,62.0,53.968707449743306,61.52467165388138,84.06664045056162,,0.8669159893963105,254.90504455566406,397.16729736328125,145.12260437168948,10.258311499327,40.20813926530986,0.0
965696400.995,965696500.995,965696465.5741333,965696433.665,965696500.8,0.4638503725469046,0.24845507420355556,9.555317674466234e-17,5.118174528593244e-17,20.914055225644063,0.46572088878200546,0.8328542261829739,,,,,,,,1.7527547115099509,0.18860498914755522,3.610674705710499e-16,3.885262776439637e-17,19.47069714201212,0.1109621674198209,0.1236070531801623,75.0,86.36463314577055,47.0,40.77122871042375,49.27365625014909,63.509029337390785,,0.8686238807791229,256.8560791015625,413.2459411621094,143.755476582453,10.257703652737575,40.20831332674484,4.0
965696500.995,965696600.995,965696565.0253898,965696501.755,965696596.575,0.7740933102804757,0.23412939172317243,1.59463221917778e-16,4.823065469497352e-17,20.35801671425724,0.28690789465170496,0.3910714347732984,,,,,,,,1.7571692298652803,0.187485645688936,3.6197686135224775e-16,3.8622043011920815e-17,19.46796602588977,0.11007236788220709,0.1225036830482118,77.0,87.83975862025738,36.0,31.54880596158213,49.98935624828346,49.14333236323366,,0.8767222908241771,250.9783172607422,425.6303405761719,151.2097096237228,10.257985460937663,40.20841305030441,4.0
965696600.995,965696700.995,965696655.0010002,965696601.52,965696700.98,0.34777405254558996,0.23953705977657364,7.164145482439153e-17,4.9344634313974166e-17,21.22675705969068,0.5689276048533323,1.26730364675403,,,,,,,,1.6074832312456193,0.17935666539086656,3.3114154563659755e-16,3.694747307051851e-17,19.56463387200543,0.11484797413929826,0.12844938317470778,70.0,80.32631807049454,46.0,40.41104005241911,49.9702370196737,62.94796623549895,,0.8717250595312255,243.7687225341797,431.9021911621094,159.4552033003185,10.258205429658583,40.208168630114834,4.0
965696700.995,965696800.995,965696736.791271,965696701.15,965696800.625,0.13226530416128285,0.24878862858876247,2.7246652657224266e-17,5.125045748928507e-17,22.276385162537178,1.1488512830784998,,,,,,,,,1.467642016668219,0.18002283412499634,3.023342554336531e-16,3.7084703829749247e-17,19.66344965864013,0.12562185141555204,0.14208174625095538,59.0,66.46378713467844,44.0,38.822819297785124,45.2861027279403,60.474006983088316,,0.8879992671689729,238.18649291992188,434.6141052246094,165.4743102540537,10.2580844496692,40.208014266161385,4.0
965696800.995,965696888.995,965696847.8787054,965696801.47,965696888.89,0.42539374229501864,0.23734737299995598,8.763111091277384e-17,4.889355883799093e-17,21.00802225756143,0.48138204329613643,0.8863153606899807,,,,,,,,1.9832548210152952,0.17762480653344548,4.085504931291508e-16,3.659071014588977e-17,19.336553703328278,0.09313014095819838,0.10187438345871058,112.0,124.66650994600826,70.0,62.86636283263166,62.85955219924148,97.92644979698386,,0.8986843571403984,219.25001525878906,436.4051208496094,184.37974348616132,10.258294622589917,40.20845921353109,0.0
