dstArcSec,name,ra,dec,objid,nuv_mag,nuv_magerr,nuv_flux,minPhotoObsDate,maxPhotoObsDate,fexptime,nexptime,tilename,tilenum,img,subvis,ParentImgRunID,survey
2.2365039682267,HD_212754,336.65623634257,4.39418619219786,6376404479988728994,11.806,0.002914358,68801.54,9/12/2007 10:04:42 PM,9/12/2007 10:06:18 PM,96,96,AIS_156,50156,2,93,6376404617390981120,AIS
3.83748379396214,HD_97334,168.133501760876,35.8138879909904,6374082264152671512,13.64561,0.005901024,12640.23,2/15/2007 3:54:15 PM,2/15/2007 3:56:01 PM,106,106,AIS_90,50090,1,49,6374082401588477952,AIS
1.23379589958184,HD_89744,155.54361133023,41.2293795422456,6373941498745983575,-999,-999,-999,2/11/2007 6:24:42 AM,2/11/2007 6:26:26 AM,103,104,AIS_86,50086,1,23,6373941636182835200,AIS
1.31433810805617,HD_72905,129.798568983887,65.0212660716527,6373519331378073010,-999,-999,-999,12/26/2006 3:48:49 AM,12/26/2006 3:50:39 AM,110,110,AIS_74,50074,1,65,6373519468814925824,AIS
0.723442533688848,HD_29645,70.4595990876734,38.2800567518893,6373061925952029187,12.56394,0.003309227,34231.36,12/27/2005 7:20:49 PM,12/27/2005 7:23:12 PM,143.05,143.05,AIS_61,50061,1,57,6373062063387836416,AIS
3.80744800348269,HD_37394,85.3356567332146,53.4801440133439,3973689998427819744,13.13585,0.001297827,20214.37,1/14/2011 4:29:07 PM,1/14/2011 4:57:20 PM,0,1693.15,MISGCSN1_03275_0069,47403,1,-999,3973690136067047424,MIS
4.69366933918749,HD_126053,215.814369008222,1.24046632213853,3383190681829777215,-999,-999,-999,5/24/2008 11:58:51 AM,5/24/2008 12:12:17 PM,806.05,806.05,WDST_J1423p0149,30620,6,-999,3383190819233071104,CAI
1.3716856981163,HD_107213,184.873458323836,28.1569012094087,3229294238177956879,12.21315,0.0009050737,47286.74,3/9/2011 11:58:30 AM,3/9/2011 12:17:41 PM,0,1151.55,GI6_012046_HRS101,26246,2,-999,3229294375783628800,GII
2.24569273552249,HD_107213,184.873005779592,28.1563014770901,3229294238144401982,12.72117,0.00135444,29616.4,3/9/2011 12:28:59 AM,3/9/2011 12:44:32 AM,0,933.65,GI6_012046_HRS101,26246,1,-999,3229294375783628800,GII
4.38651431570173,HD_76151,133.573615229207,-5.43410718406369,3207620664939775945,12.42583,0.003015939,38874.91,3/1/2009 4:15:33 AM,3/1/2009 4:18:25 AM,172,172,GI5_028030_W2_24570_0202,25630,1,-999,3207620802375581696,GII
0.864155494333473,HD_129333,219.751380567984,64.2917412446897,3080112500856853827,12.93575,0.001361268,24305.31,6/8/2006 2:01:52 PM,6/8/2006 2:22:12 PM,0,1220.15,GI2_007012_S_143907p641712,22006,12,-999,3080112637925654528,GII
0.999724018896526,HD_129333,219.751439927621,64.2917715188464,3080112500823299367,12.93081,0.001375092,24416.11,6/8/2006 12:23:16 PM,6/8/2006 12:43:40 PM,0,1224,GI2_007012_S_143907p641712,22006,11,-999,3080112637925654528,GII
1.70029156260037,HD_129333,219.750641722607,64.2911640724064,3080112500789745508,12.90451,0.001305039,25014.63,4/13/2006 5:19:06 AM,4/13/2006 5:43:30 AM,0,1464,GI2_007012_S_143907p641712,22006,10,-999,3080112637925654528,GII
1.43031540312256,HD_129333,219.750949348788,64.291226290944,3080112500756191395,12.88588,0.001292508,25447.75,4/13/2006 3:40:26 AM,4/13/2006 4:04:47 AM,0,1461.05,GI2_007012_S_143907p641712,22006,9,-999,3080112637925654528,GII
2.18652708453201,HD_129333,219.750113150749,64.2911203214849,3080112500722636968,12.86972,0.001247098,25829.21,4/13/2006 12:23:08 AM,4/13/2006 12:47:34 AM,0,1466.05,GI2_007012_S_143907p641712,22006,8,-999,3080112637925654528,GII
0.994719258242755,HD_129333,219.751171899383,64.291373333283,3080112500689082254,12.84304,0.001260471,26471.79,4/12/2006 9:05:50 PM,4/12/2006 9:30:07 PM,0,1457.2,GI2_007012_S_143907p641712,22006,7,-999,3080112637925654528,GII
1.27829926444588,HD_129333,219.751429267985,64.2913524970764,3080112500655527802,12.84848,0.001260679,26339.57,4/12/2006 7:27:11 PM,4/12/2006 7:51:28 PM,0,1457.25,GI2_007012_S_143907p641712,22006,6,-999,3080112637925654528,GII
2.30339907263286,HD_129333,219.749764658513,64.2912140343363,3080112500624071513,12.89717,0.001123514,25184.48,3/1/2006 11:15:00 PM,3/1/2006 11:43:04 PM,1684.1,1684.1,GI2_007012_S_143907p641712,22006,5,-999,3080112637925654528,GII
1.901198766358,HD_129333,219.750591215113,64.291112045407,3080112500590517006,12.84742,0.00110205,26365.26,3/1/2006 12:14:34 AM,3/1/2006 12:42:34 AM,1680,1680,GI2_007012_S_143907p641712,22006,4,-999,3080112637925654528,GII
2.00752707571223,HD_129333,219.750442794418,64.2911016505576,3080112500556962321,12.88375,0.001124477,25497.69,2/28/2006 9:27:13 AM,2/28/2006 9:55:02 AM,1669.95,1669.95,GI2_007012_S_143907p641712,22006,3,-999,3080112637925654528,GII
2.02367866985397,HD_129333,219.750291584338,64.2911264473512,3080112500523408109,12.92042,0.001170221,24650.91,2/28/2006 1:14:07 AM,2/28/2006 1:41:06 AM,1619.3,1619.35,GI2_007012_S_143907p641712,22006,2,-999,3080112637925654528,GII
2.31555087120129,HD_129333,219.749775038692,64.2912034825345,3080112500489853241,12.90546,0.001182094,24992.8,2/27/2006 3:22:28 PM,2/27/2006 3:48:05 PM,1537.35,1537.35,GI2_007012_S_143907p641712,22006,1,-999,3080112637925654528,GII
1.29375818025127,HD_10476,25.6237157552859,20.2683062828768,3054885305769269476,12.7958,0.001046981,27649.13,11/20/2004 10:43:59 AM,11/20/2004 11:12:12 AM,1693.05,1693.05,GI1_047010_UGCA020,21289,3,-999,3054885443137961984,GII
1.31806173470487,HD_10476,25.6236814906332,20.2683397645871,3054885305735715183,12.78887,0.001010559,27826.1,11/20/2004 9:05:23 AM,11/20/2004 9:33:38 AM,1695,1695,GI1_047010_UGCA020,21289,2,-999,3054885443137961984,GII
2.10237593973851,HD_100563,173.591924374457,3.06052599182545,2949824770676362425,11.81465,0.00086834,68255.84,4/9/2011 10:36:40 AM,4/9/2011 10:51:59 AM,0,919.05,MISGCSN1_12834_0234,18303,2,-999,2949824908282036224,MIS
1.25935925963757,HD_100563,173.591599289769,3.05985001855068,2949824770642806158,11.98829,0.002097097,58168.05,3/21/2011 7:42:31 PM,3/21/2011 7:46:08 PM,0,217.1,MISGCSN1_12834_0234,18303,1,-999,2949824908282036224,MIS
4.18910598455447,HD_136202,229.829435655757,1.76507488300057,2938952799667359188,11.77993,0.0006211374,70473.95,5/24/2009 3:37:43 PM,5/24/2009 3:58:34 PM,1251.75,1251.75,MISWZN15_33787_0338o,17994,1,-999,2938952937105260544,MIS
4.93738700854098,HD_219834A,349.778562093781,-13.4584665386291,2911649726961034433,-999,-999,-999,8/24/2007 9:07:57 PM,8/24/2007 9:22:21 PM,864.35,864.35,MISWZS00_29721_0164,17218,2,-999,2911649864364326912,MIS
4.26938031086653,HD_219834A,349.778368549577,-13.4583665991109,2911649726927480391,-999,-999,-999,9/27/2006 12:52:28 AM,9/27/2006 1:09:01 AM,993.35,993.35,MISWZS00_29721_0164,17218,1,-999,2911649864364326912,MIS
3.44864438078823,HD_76151,133.573869517983,-5.43417083165296,6377987752003110510,12.4634,0.003479708,37552.52,2/23/2006 9:08:17 PM,2/23/2006 9:10:07 PM,110.9,110.95,AIS_201,50201,1,70,6377987889438916608,AIS
4.49873401302276,HD_13421,32.836570244493,8.56970562197956,6377389642407217302,12.98566,0.004956798,23213.15,11/6/2007 4:43:23 PM,11/6/2007 4:44:52 PM,89.05,89.05,AIS_184,50184,2,93,6377389779809468416,AIS
1.23942364848027,HD_129333,219.750848952769,64.2919665991734,3080112500926060110,12.96222,0.001384117,23719.88,5/29/2007 8:19:27 PM,5/29/2007 8:39:22 PM,1195,1195,GI2_007012_S_143907p641712,22006,14,-999,3080112637925654528,GII
0.948674218155826,HD_3229,8.88703429462308,-0.50547911087792,2917419964117819527,-999,-999,-999,11/10/2007 4:19:56 AM,11/10/2007 4:30:26 AM,630.35,630.35,MISWZS01_29095_0268,17382,6,-999,2917420101386895360,MIS
4.89513145893775,HD_45067,96.3190923867806,-0.947227530061493,6381119186920279399,13.0875,0.006656274,21134.95,12/19/2011 8:34:25 AM,12/19/2011 8:35:45 AM,0,80,AIS_290,50290,2,94,6381119324324626432,AIS
4.88317139984466,HD_3651,9.83970707359493,21.2496339679321,6380943178055287234,13.39519,0.005313728,15919.27,10/27/2006 8:56:29 AM,10/27/2006 8:58:20 AM,110,111,AIS_285,50285,1,13,6380943315491094528,AIS
