#Table: III/159A/catalog.dat (cdsarc.u-strasbg.fr)
#---------------------------------------------------------------------------------------------------------------------------------------------------------------
#          |    |      |      |      |      |      |        |        |          |          |                   |                 |r|      |      |       |
#          |    |      |      |      |      |      |        |        |          |          |                   |                 |P|      |      |       |
#          |    |      |      |      |     e|      |        |        |          |          |                   |                 |o|      |      |       |
#Star      |Nobs|  Smin|  Smax| Smean|_Smean|   sdS|    Wmin|   Wmean|Date1     |Date2     |SName              |   RAdeg    DEdeg|s|  Bmag|  Vmag|   ASCC|   HIP
#----------|----|------|------|------|------|------|--------|--------|----------|----------|-------------------|-----------------|-|------|------|-------|------
Hya     2 |   1|0.2797|0.2797|0.2797|0.0000|  0.00|  1707.5|  1707.5|24/10/1979|24/10/1979|Cl Melotte 25 2    |049.3862 +07.6902|A| 8.395| 7.760|1006826| 15310
Hya     3 |   2|0.1372|0.1926|0.1649|0.0392| 23.76|   598.5|   819.8|11/12/1978|13/12/1978|Cl Melotte 25 3    |052.6264 +20.1034|A| 9.103| 8.301| 747522| 16329
Hya     4 |   2|0.2735|0.3320|0.3027|0.0414| 13.66|   945.1|  1079.5|11/12/1978|13/12/1978|Cl Melotte 25 4    |053.2082 +23.6923|A| 9.719| 8.870| 747604| 16529
Hya     5 |   2|0.4160|0.4267|0.4214|0.0076|  1.80|  1168.9|  1607.6|11/12/1978|13/12/1978|Cl Melotte 25 5    |054.3954 +21.3432|A|10.749| 9.362| 747805| 16908
Hya     6 |   1|0.1912|0.1912|0.1912|0.0000|  0.00|  1566.6|  1566.6|11/12/1978|11/12/1978|Cl Melotte 25 6    |058.2915 +17.3272|A| 6.321| 5.957| 837399| 18170
Hya     7 |   1|0.2197|0.2197|0.2197|0.0000|  0.00|  1617.3|  1617.3|11/12/1978|11/12/1978|Cl Melotte 25 7    |058.7767 +16.9985|A| 9.888| 8.983| 837466| 18327
Hya     8 |   2|0.3063|0.3929|0.3496|0.0612| 17.52|   982.3|  1506.2|11/12/1978|14/12/1978|Cl Melotte 25 8    |059.9184 +10.3304|A| 6.772| 6.343| 920761| 18658
Hya     9 |   2|0.3843|0.3887|0.3865|0.0031|  0.81|   866.6|  1047.4|11/12/1978|14/12/1978|Cl Melotte 25 9    |060.1644 +20.3806|A| 9.388| 8.647| 748964| 18719
Hya    10 |   2|0.2112|0.2472|0.2292|0.0255| 11.11|   785.5|  1642.1|11/12/1978|14/12/1978|Cl Melotte 25 10   |061.5669 +15.6982|A| 8.442| 7.828| 837885| 19148
Hya    10 |   1|0.3258|0.3258|0.3258|0.0000|  0.00|  2174.9|  2174.9|24/10/1979|24/10/1979|Cl Melotte 25 10   |061.5669 +15.6982|A| 8.442| 7.828| 837885| 19148
Hya    11 |   2|0.3939|0.4361|0.4150|0.0298|  7.19|  1847.2|  2059.6|11/12/1978|11/12/1978|Cl Melotte 25 11   |061.9246 +15.1628|A| 6.452| 6.043| 837923| 19261
Hya    13 |   1|0.4715|0.4715|0.4715|0.0000|  0.00|   825.4|   825.4|11/12/1978|11/12/1978|Cl Melotte 25 13   |062.6762 +18.4233|A| 7.017| 6.589| 838010| 19504
Hya    15 |  12|0.3209|0.3780|0.3472|0.0221|  6.36|   817.1|  1045.6| 2/11/1981|23/12/1981|Cl Melotte 25 15   |063.6343 +23.5751|A| 8.729| 8.056| 749468| 19793
Hya    15 |  12|0.3428|0.3998|0.3687|0.0177|  4.81|   686.6|  1709.5|19/12/1982|14/ 1/1983|Cl Melotte 25 15   |063.6343 +23.5751|A| 8.729| 8.056| 749468| 19793
Hya    16 |   1|0.2550|0.2550|0.2550|0.0000|  0.00|  1132.9|  1132.9|11/12/1978|11/12/1978|Cl Melotte 25 16   |063.6265 +22.4519|A| 7.494| 7.045| 749467| 19789
Hya    17 |  21|0.2851|0.4082|0.3375|0.0317|  9.39|   360.7|   581.9| 3/11/1981|26/ 1/1982|Cl Melotte 25 17   |063.6066 +14.6251|A| 9.170| 8.441| 921192| 19781
Hya    17 |   6|0.3429|0.3561|0.3493|0.0054|  1.53|  2075.1|  2336.0|13/ 1/1983|14/ 1/1983|Cl Melotte 25 17   |063.6066 +14.6251|A| 9.170| 8.441| 921192| 19781
Hya    18 |   1|0.3926|0.3926|0.3926|0.0000|  0.00|  1500.4|  1500.4|11/12/1978|11/12/1978|Cl Melotte 25 18   |063.6133 +12.4353|A| 8.698| 8.054| 921193| 19786
Hya    18 |   1|0.3389|0.3389|0.3389|0.0000|  0.00|  2434.9|  2434.9|24/10/1979|24/10/1979|Cl Melotte 25 18   |063.6133 +12.4353|A| 8.698| 8.054| 921193| 19786
