#Table: III/159A/catalog.dat (cdsarc.u-strasbg.fr)
#---------------------------------------------------------------------------------------------------------------------------------------------------------------
#          |    |      |      |      |      |      |        |        |          |          |                   |                 |r|      |      |       |
#          |    |      |      |      |      |      |        |        |          |          |                   |                 |P|      |      |       |
#          |    |      |      |      |     e|      |        |        |          |          |                   |                 |o|      |      |       |
#Star      |Nobs|  Smin|  Smax| Smean|_Smean|   sdS|    Wmin|   Wmean|Date1     |Date2     |SName              |   RAdeg    DEdeg|s|  Bmag|  Vmag|   ASCC|   HIP
#----------|----|------|------|------|------|------|--------|--------|----------|----------|-------------------|-----------------|-|------|------|-------|------
HD  26923 |   5|0.2658|0.2849|0.2756|0.0072|  2.62| 15564.9| 15979.4|29/ 9/1978|25/ 1/1979|HD 26923           |063.8703 +06.1871|A| 6.900| 6.314|1008746| 19859
HD  26923 |  13|0.2786|0.2970|0.2885|0.0047|  1.62|  7885.7| 14270.7|26/10/1979| 9/ 2/1980|HD 26923           |063.8703 +06.1871|A| 6.900| 6.314|1008746| 19859
HD  26923 | 197|0.2640|0.3074|0.2839|0.0080|  2.83|  1075.2|  2803.2|26/ 7/1980| 9/ 3/1981|HD 26923           |063.8703 +06.1871|A| 6.900| 6.314|1008746| 19859
HD  26923 |  60|0.2587|0.3074|0.2740|0.0090|  3.29|  1000.7|  2646.5|21/ 9/1981| 7/ 1/1982|HD 26923           |063.8703 +06.1871|A| 6.900| 6.314|1008746| 19859
HD  26923 |  24|0.2561|0.2876|0.2724|0.0082|  3.02|  1285.5|  2574.5| 5/ 9/1982|21/ 2/1983|HD 26923           |063.8703 +06.1871|A| 6.900| 6.314|1008746| 19859
HD  26965 |   4|0.2287|0.2523|0.2428|0.0108|  4.44|     0.0|     0.0|24/10/1967|10/12/1967|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  26965 |  11|0.2258|0.2501|0.2367|0.0076|  3.21|     0.0|     0.0| 7/ 9/1968| 3/ 2/1969|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  26965 |  14|0.2224|0.2471|0.2310|0.0060|  2.60|     0.0|     0.0| 1/10/1969|27/ 1/1970|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  26965 |  10|0.1983|0.2207|0.2105|0.0089|  4.23|     0.0|     0.0|15/ 9/1970|10/ 1/1971|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  26965 |  12|0.1865|0.2028|0.1936|0.0049|  2.53|     0.0|     0.0| 6/ 9/1971| 3/ 2/1972|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  26965 |  12|0.1865|0.2027|0.1936|0.0045|  2.35|     0.0|     0.0|29/ 9/1972|22/ 1/1973|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  26965 |  14|0.1815|0.2088|0.1933|0.0071|  3.66|     0.0|     0.0|17/ 9/1973| 9/ 2/1974|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  26965 |  15|0.1836|0.2033|0.1921|0.0054|  2.81|     0.0|     0.0|23/ 8/1974|28/ 1/1975|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  26965 |  19|0.1912|0.2181|0.2013|0.0071|  3.50|     0.0|     0.0|21/ 8/1975|13/ 2/1976|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  26965 |  15|0.1979|0.2317|0.2149|0.0114|  5.29|     0.0|     0.0| 3/ 9/1976| 2/ 2/1977|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  26965 |   3|0.2076|0.2348|0.2220|0.0137|  6.16|  7264.7| 13366.2|29/11/1977| 3/ 2/1978|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  26965 |   4|0.2062|0.2195|0.2145|0.0061|  2.84| 17201.9| 21588.0|29/ 9/1978|19/ 1/1979|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  26965 |   6|0.2051|0.2273|0.2153|0.0088|  4.11|  8593.6| 10381.7|26/10/1979| 9/ 2/1980|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  26965 |  60|0.1812|0.1990|0.1906|0.0040|  2.08|  3212.7|  3549.6|31/ 8/1980|23/11/1980|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  26965 |  54|0.1788|0.2035|0.1905|0.0065|  3.40|  1970.2|  5602.1|21/ 9/1981| 4/ 3/1982|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  26965 |  33|0.1759|0.1966|0.1862|0.0047|  2.55|  2279.2|  2913.2| 5/10/1982|14/12/1982|HD 26965           |063.8235 -07.6446|A| 5.251| 4.419|1272476| 19849
HD  27022 |   1|0.1794|0.1794|0.1794|0.0000|  0.00|  5353.4|  5353.4|15/11/1979|15/11/1979|HD 27022           |065.1682 +65.1405|A| 6.074| 5.254|  72629| 20266
HD  27022 |  90|0.1699|0.1908|0.1803|0.0039|  2.16|  2331.2|  3164.2|13/ 8/1980|23/11/1980|HD 27022           |065.1682 +65.1405|A| 6.074| 5.254|  72629| 20266
HD  27130 |   1|0.4410|0.4410|0.4410|0.0000|  0.00|  4102.5|  4102.5|15/11/1979|15/11/1979|HD 27130           |064.4120 +16.9479|A| 9.075| 8.315| 838157| 20019
HD  27382 |   1|0.1277|0.1277|0.1277|0.0000|  0.00|  7861.2|  7861.2| 1/12/1979| 1/12/1979|HD 27382           |065.0885 +27.3509|A| 6.105| 4.947| 659127| 20250
HD  27384 |   2|0.1939|0.2052|0.1996|0.0080|  4.00|  4087.0|  4134.5|27/ 8/1980|27/ 8/1980|HD 27384           |064.9831 +14.8743|A| 9.754| 9.184| 921308|
HD  28100 |   1|0.1262|0.1262|0.1262|0.0000|  0.00|  8818.2|  8818.2|29/11/1979|29/11/1979|HD 28100           |066.6516 +14.7139|A| 5.661| 4.685| 921510| 20732
HD  28271 |   1|0.2674|0.2674|0.2674|0.0000|  0.00|  8408.0|  8408.0|25/11/1979|25/11/1979|HD 28271           |067.2166 +30.3615|A| 6.918| 6.367| 561947| 20904
HD  28343 |   1|1.3587|1.3587|1.3587|0.0000|  0.00|  2014.3|  2014.3|15/11/1978|15/11/1978|HD 28343           |067.2507 +21.9223|A| 9.739| 8.346| 749923| 20917
HD  29094 |   2|0.4010|0.4109|0.4060|0.0070|  1.72|  3242.2|  7964.4|27/ 8/1980|27/ 8/1980|HD 29094           |069.1726 +41.2649|A| 5.428| 4.243| 391206| 21476
HD  29317 |   1|0.2449|0.2449|0.2449|0.0000|  0.00|  7859.7|  7859.7| 1/12/1979| 1/12/1979|HD 29317           |069.9779 +53.0796|A| 6.160| 5.074| 244177| 21727
HD  29317 | 165|0.1946|0.2599|0.2206|0.0149|  6.77|  1535.2|  3082.8|13/ 8/1980| 3/ 2/1981|HD 29317           |069.9779 +53.0796|A| 6.160| 5.074| 244177| 21727
HD  29587 |   1|0.1881|0.1881|0.1881|0.0000|  0.00|  3339.0|  3339.0|26/10/1978|26/10/1978|HD 29587           |070.3996 +42.1195|A| 7.913| 7.277| 391437| 21832
HD  29645 |   7|0.1383|0.1475|0.1428|0.0030|  2.11|     0.0|     0.0|24/ 9/1966|27/ 2/1967|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |   9|0.1368|0.1413|0.1392|0.0015|  1.09|     0.0|     0.0|23/10/1967|11/12/1967|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |  19|0.1348|0.1426|0.1392|0.0020|  1.44|     0.0|     0.0|11/10/1968| 6/ 3/1969|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |  10|0.1353|0.1425|0.1395|0.0025|  1.80|     0.0|     0.0|25/10/1969|26/ 1/1970|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |  10|0.1360|0.1447|0.1393|0.0027|  1.91|     0.0|     0.0|14/ 9/1970|10/ 1/1971|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |   8|0.1357|0.1443|0.1387|0.0027|  1.93|     0.0|     0.0|25/10/1971| 3/ 2/1972|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |  11|0.1361|0.1400|0.1378|0.0012|  0.85|     0.0|     0.0|29/ 9/1972|21/ 1/1973|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |   6|0.1347|0.1460|0.1392|0.0041|  2.93|     0.0|     0.0|29/11/1973| 9/ 2/1974|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |  10|0.1362|0.1420|0.1394|0.0016|  1.13|     0.0|     0.0| 9/10/1974|28/ 1/1975|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |   8|0.1362|0.1441|0.1391|0.0028|  2.04|     0.0|     0.0|15/11/1975|13/ 2/1976|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |   9|0.1347|0.1396|0.1378|0.0020|  1.44|     0.0|     0.0| 3/ 9/1976| 4/ 3/1977|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |   5|0.1220|0.1603|0.1400|0.0141| 10.04|  8471.3| 13113.8|29/11/1977| 3/ 2/1978|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |   8|0.1353|0.1426|0.1401|0.0022|  1.59| 12110.7| 21403.7|26/ 9/1978|19/ 1/1979|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |  14|0.1401|0.1461|0.1423|0.0020|  1.44|  5000.6|  9120.5|26/10/1979|10/ 2/1980|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |  60|0.1253|0.1493|0.1367|0.0053|  3.90|   918.0|  2216.8|21/ 9/1981| 3/ 2/1982|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |   3|0.1354|0.1382|0.1371|0.0015|  1.10|  3233.4|  3254.4|23/ 2/1981|23/ 2/1981|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29645 |  39|0.1277|0.1482|0.1387|0.0053|  3.85|   803.6|  2202.8|28/ 9/1982|24/ 1/1983|HD 29645           |070.4587 +38.2804|A| 6.564| 5.965| 470922| 21847
HD  29697 |   2|2.2289|2.2636|2.2463|0.0245|  1.09|  2602.0|  3250.3|14/11/1978|29/ 1/1979|HD 29697           |070.3292 +20.9021|A| 9.287| 8.109| 750255| 21818
HD  29697 |   1|2.2395|2.2395|2.2395|0.0000|  0.00|  4471.2|  4471.2|17/12/1979|17/12/1979|HD 29697           |070.3292 +20.9021|A| 9.287| 8.109| 750255| 21818
HD  29883 |   2|0.1869|0.1982|0.1926|0.0080|  4.15|   632.7|   897.9|14/11/1978|29/ 1/1979|HD 29883           |070.8975 +27.6880|A| 8.900| 7.995| 659653| 21988
HD  30495 |   6|0.3011|0.3180|0.3118|0.0065|  2.08|     0.0|     0.0|23/10/1967|11/12/1967|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30495 |  10|0.2999|0.3294|0.3163|0.0096|  3.02|     0.0|     0.0|11/10/1968| 3/ 2/1969|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30495 |  12|0.2836|0.3245|0.3066|0.0143|  4.68|     0.0|     0.0| 3/10/1969|27/ 1/1970|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30495 |   8|0.2855|0.3147|0.3044|0.0094|  3.08|     0.0|     0.0|16/ 9/1970|10/ 1/1971|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30495 |   9|0.2865|0.3211|0.2980|0.0102|  3.43|     0.0|     0.0| 8/ 9/1971| 2/ 2/1972|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30495 |  11|0.2813|0.3111|0.2948|0.0103|  3.50|     0.0|     0.0|29/ 9/1972|21/ 1/1973|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30495 |  12|0.2768|0.3111|0.2913|0.0101|  3.47|     0.0|     0.0|17/ 9/1973| 8/ 2/1974|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30495 |  19|0.2595|0.3137|0.2854|0.0158|  5.54|     0.0|     0.0|23/ 8/1974|27/ 2/1975|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30495 |  13|0.2763|0.3270|0.2986|0.0179|  5.99|     0.0|     0.0|20/ 9/1975|12/ 2/1976|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30495 |  14|0.2592|0.2848|0.2743|0.0075|  2.74|     0.0|     0.0| 9/10/1976| 2/ 2/1977|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30495 |   3|0.2425|0.2832|0.2570|0.0227|  8.85|  6715.8| 13118.8|29/11/1977| 3/ 2/1978|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30495 |   5|0.2857|0.3027|0.2922|0.0069|  2.36| 15822.6| 19567.2|29/ 9/1978|25/ 1/1979|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30495 |  15|0.2834|0.3172|0.2992|0.0096|  3.21|  8004.4|  9566.0|23/10/1979| 9/ 2/1980|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30495 | 114|0.2506|0.3058|0.2841|0.0111|  3.91|  2169.5|  3096.9|31/ 8/1980|24/ 2/1981|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30495 |  39|0.2386|0.2906|0.2694|0.0119|  4.43|  1373.4|  2973.7|21/ 9/1981|26/ 2/1982|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30495 |  24|0.2699|0.3626|0.2949|0.0195|  6.60|   854.1|  2428.4| 6/10/1982|15/ 1/1983|HD 30495           |071.9009 -16.9349|A| 6.130| 5.482|1437982| 22263
HD  30649 |   2|0.1568|0.1657|0.1613|0.0063|  3.90|  3436.5|  5059.3|25/10/1978|12/11/1978|HD 30649           |072.9302 +45.8355|A| 7.564| 6.969| 315610| 22596
HD  30652 |   2|0.2092|0.2094|0.2093|0.0001|  0.07| 19655.8| 29382.5|14/11/1978|29/ 1/1979|HD 30652           |072.4589 +06.9612|A| 3.671| 3.183|1010229| 22449
HD  30652 |   1|0.2108|0.2108|0.2108|0.0000|  0.00| 45094.1| 45094.1|23/11/1979|23/11/1979|HD 30652           |072.4589 +06.9612|A| 3.671| 3.183|1010229| 22449
HD  31910 |   1|0.2659|0.2659|0.2659|0.0000|  0.00|  8421.6|  8421.6|29/11/1979|29/11/1979|HD 31910           |075.8546 +60.4423|A| 4.914| 4.021| 118306| 23522
HD  32008 |   1|0.3072|0.3072|0.3072|0.0000|  0.00|  8609.5|  8609.5|30/11/1979|30/11/1979|HD 32008           |074.9602 -10.2630|A| 6.181| 5.388|1354839| 23221
HD  32147 |   4|0.2721|0.2994|0.2907|0.0127|  4.37|     0.0|     0.0|23/10/1967|10/12/1967|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32147 |  11|0.2823|0.3468|0.3085|0.0190|  6.16|     0.0|     0.0|11/10/1968| 5/ 3/1969|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32147 |  15|0.3464|0.3993|0.3721|0.0144|  3.88|     0.0|     0.0| 3/10/1969|20/ 3/1970|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32147 |  10|0.3468|0.3909|0.3756|0.0154|  4.09|     0.0|     0.0|14/ 9/1970|10/ 1/1971|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32147 |  15|0.3013|0.3447|0.3266|0.0134|  4.10|     0.0|     0.0| 5/ 9/1971| 3/ 2/1972|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32147 |  15|0.2952|0.3290|0.3138|0.0093|  2.97|     0.0|     0.0|25/ 8/1972|21/ 1/1973|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32147 |  17|0.2746|0.3285|0.2964|0.0120|  4.06|     0.0|     0.0|15/ 8/1973| 9/ 2/1974|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32147 |  19|0.2504|0.3044|0.2754|0.0166|  6.04|     0.0|     0.0|23/ 8/1974|27/ 2/1975|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32147 |  20|0.2278|0.2647|0.2522|0.0092|  3.63|     0.0|     0.0|20/ 8/1975|13/ 2/1976|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32147 |  19|0.2358|0.2526|0.2437|0.0044|  1.79|     0.0|     0.0| 3/ 9/1976| 4/ 3/1977|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32147 |   3|0.2048|0.2896|0.2473|0.0424| 17.15|  1384.8|  5328.4|29/11/1977| 3/ 2/1978|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32147 |   9|0.2671|0.3384|0.3091|0.0230|  7.43|  3653.3| 11089.2|22/ 8/1978|25/ 1/1979|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32147 |   7|0.2899|0.3183|0.3013|0.0117|  3.89|  3540.8|  7996.5|23/10/1979| 9/ 2/1980|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32147 | 157|0.2580|0.3463|0.2973|0.0128|  4.31|   137.2|  1832.0|31/ 8/1980|18/ 3/1981|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32147 | 100|0.2462|0.3139|0.2736|0.0125|  4.58|   174.9|  1013.4|21/ 9/1981|26/ 2/1982|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32147 |  18|0.2642|0.3299|0.2910|0.0179|  6.13|   536.0|  1249.1| 6/10/1982|21/ 2/1983|HD 32147           |075.2028 -05.7510|A| 7.340| 6.222|1274982| 23311
HD  32357 |   1|1.1717|1.1717|1.1717|0.0000|  0.00| 12510.8| 12510.8| 1/12/1979| 1/12/1979|HD 32357           |076.5506 +59.0214|A| 7.199| 6.082| 178370| 23743
HD  32357 |   2|1.0826|1.1105|1.0965|0.0197|  1.80|  3696.1|  3743.7|29/ 8/1980|29/ 8/1980|HD 32357           |076.5506 +59.0214|A| 7.199| 6.082| 178370| 23743
HD  33564 |   1|0.1476|0.1476|0.1476|0.0000|  0.00|  7470.9|  7470.9|26/10/1978|26/10/1978|HD 33564           |080.6407 +79.2308|A| 5.593| 5.083|  17802| 25110
HD  33564 |   1|0.1513|0.1513|0.1513|0.0000|  0.00|  2732.4|  2732.4|10/ 2/1980|10/ 2/1980|HD 33564           |080.6407 +79.2308|A| 5.593| 5.083|  17802| 25110
HD  33608 |   4|0.2139|0.2166|0.2156|0.0012|  0.54|     0.0|     0.0|25/ 1/1967| 1/ 3/1967|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |   5|0.2264|0.2395|0.2333|0.0059|  2.51|     0.0|     0.0|26/10/1967|10/ 2/1968|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |   9|0.2068|0.2361|0.2216|0.0090|  4.05|     0.0|     0.0| 8/11/1968| 4/ 3/1969|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |  11|0.2169|0.2438|0.2311|0.0080|  3.47|     0.0|     0.0| 4/10/1969|27/ 1/1970|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |   6|0.2117|0.2262|0.2185|0.0049|  2.24|     0.0|     0.0|22/10/1970|10/ 1/1971|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |   7|0.2096|0.2234|0.2177|0.0043|  2.00|     0.0|     0.0|26/10/1971| 3/ 2/1972|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |  12|0.2022|0.2285|0.2133|0.0079|  3.68|     0.0|     0.0|24/10/1972|13/ 2/1973|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |   8|0.2031|0.2241|0.2115|0.0064|  3.04|     0.0|     0.0| 4/10/1973| 9/ 2/1974|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |  14|0.1995|0.2228|0.2095|0.0055|  2.65|     0.0|     0.0| 9/10/1974|27/ 2/1975|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |  10|0.2068|0.2218|0.2128|0.0055|  2.56|     0.0|     0.0|17/10/1975|13/ 2/1976|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |  13|0.2030|0.2238|0.2140|0.0065|  3.05|     0.0|     0.0| 9/10/1976| 2/ 2/1977|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |   3|0.1952|0.2172|0.2071|0.0111|  5.36|  7855.5| 10873.2|29/11/1977| 3/ 2/1978|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |   5|0.2066|0.2156|0.2113|0.0034|  1.61| 12370.6| 16530.4|29/ 9/1978|25/ 1/1979|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |  15|0.1991|0.2139|0.2077|0.0045|  2.15|  8209.4| 16682.8|23/10/1979| 9/ 2/1980|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |  51|0.1946|0.2162|0.2063|0.0046|  2.23|  2521.8|  3244.5| 2/11/1980|18/ 3/1981|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |  27|0.1879|0.2117|0.1974|0.0057|  2.89|  2685.2|  3082.0|25/ 9/1981|23/10/1981|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  33608 |  42|0.2072|0.2261|0.2158|0.0046|  2.15|  2486.9|  2881.7| 5/10/1982|21/ 2/1983|HD 33608           |077.8297 -02.4908|A| 6.372| 5.891|1196782| 24162
HD  34411 |   3|0.1425|0.1558|0.1488|0.0067|  4.49|  3290.0| 13593.7|28/ 9/1978|12/11/1978|HD 34411           |079.7837 +40.1007|A| 5.320| 4.684| 394559| 24813
HD  34559 |   1|0.1276|0.1276|0.1276|0.0000|  0.00|  9380.0|  9380.0|30/11/1979|30/11/1979|HD 34559           |079.8191 +22.0967|A| 5.892| 4.945| 752117| 24822
HD  35171 |   1|1.0370|1.0370|1.0370|0.0000|  0.00|  2323.9|  2323.9|12/11/1978|12/11/1978|HD 35171           |080.9093 +17.3241|A| 9.102| 7.928| 840833| 25220
HD  35171 |   1|0.9885|0.9885|0.9885|0.0000|  0.00|   617.8|   617.8|10/ 2/1980|10/ 2/1980|HD 35171           |080.9093 +17.3241|A| 9.102| 7.928| 840833| 25220
HD  35296 |   8|0.2875|0.3276|0.3099|0.0136|  4.38|     0.0|     0.0|24/ 9/1966| 1/ 3/1967|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |   6|0.3202|0.3462|0.3294|0.0097|  2.93|     0.0|     0.0|23/10/1967| 9/12/1967|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |  11|0.3068|0.3325|0.3182|0.0076|  2.40|     0.0|     0.0|11/10/1968| 6/ 3/1969|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |  13|0.3050|0.3398|0.3226|0.0088|  2.72|     0.0|     0.0| 2/10/1969|27/ 1/1970|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |  10|0.2892|0.3183|0.3035|0.0074|  2.44|     0.0|     0.0|22/10/1970|18/ 3/1971|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |  11|0.2865|0.3241|0.3011|0.0097|  3.21|     0.0|     0.0|25/10/1971| 3/ 2/1972|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |  17|0.2879|0.3191|0.3010|0.0082|  2.74|     0.0|     0.0|29/ 9/1972|13/ 2/1973|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |  15|0.2780|0.3228|0.3029|0.0100|  3.29|     0.0|     0.0|17/ 9/1973| 4/ 3/1974|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |  15|0.2790|0.3092|0.2981|0.0076|  2.56|     0.0|     0.0| 9/10/1974|27/ 2/1975|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |  12|0.2753|0.3256|0.2943|0.0157|  5.35|     0.0|     0.0|17/10/1975|13/ 2/1976|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |  17|0.2708|0.3082|0.2899|0.0098|  3.39|     0.0|     0.0| 9/10/1976| 4/ 3/1977|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |   3|0.2832|0.3332|0.3006|0.0282|  9.39| 15963.6| 20223.5|29/11/1977| 3/ 2/1978|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |   7|0.3194|0.3382|0.3294|0.0068|  2.05| 16494.7| 27206.1|26/ 9/1978|25/ 1/1979|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |  15|0.2815|0.4194|0.3305|0.0276|  8.35|  7882.0| 22604.7|23/10/1979| 9/ 2/1980|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |  69|0.2950|0.3293|0.3092|0.0073|  2.37|  6353.4|  7912.0| 2/11/1980|18/ 3/1981|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |  33|0.2916|0.3326|0.3081|0.0108|  3.50|  6076.5|  9574.1|23/ 9/1981|26/ 2/1982|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35296 |  96|0.2933|0.3245|0.3086|0.0073|  2.37|  1937.5|  5904.0| 5/10/1982| 8/ 4/1983|HD 35296           |081.1055 +17.3836|A| 5.547| 4.999| 840887| 25278
HD  35369 |   1|0.1161|0.1161|0.1161|0.0000|  0.00|  9190.1|  9190.1|29/11/1979|29/11/1979|HD 35369           |080.9868 -07.8080|A| 5.093| 4.131|1276550| 25247
HD  35984 |   1|0.2264|0.2264|0.2264|0.0000|  0.00|  8686.2|  8686.2|15/11/1979|15/11/1979|HD 35984           |082.4193 +29.1866|A| 6.678| 6.189| 661377| 25730
HD  36079 |   1|0.1241|0.1241|0.1241|0.0000|  0.00| 10933.4| 10933.4|15/11/1979|15/11/1979|HD 36079           |082.0614 -20.7592|A| 3.654| 2.828|1532546| 25606
