t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
935071049.995,935071149.995,935071102.1074921,935071051.0,935071149.99,106.72339516777375,1.1956902039345971,2.198501940456139e-14,2.46312182010527e-16,15.009350917733567,0.01209655767656237,0.012232849453742034,107.88230759488995,1.1895113308420768,2.222375536454733e-14,2.450393341534678e-16,14.997624431479249,0.011905820644800613,0.012037824748421855,109.57299521568144,1.1804392309856355,2.2572037014430378e-14,2.4317048158304093e-16,14.980741166497507,0.011634172767086781,0.011760189937971788,7010.0,8616.279884142179,149.0,121.72165016758436,78.63506758377878,224.0784923539621,132.94733532399738,0.8138471870042819,393.2827453613281,104.4884262084961,295.5879086745806,10.2063278927992,40.18558789442627,32.0
935071149.995,935071249.995,935071199.7068084,935071150.005,935071249.97,104.94557072178996,1.163781721385364,2.1618787568688733e-14,2.39739034605385e-16,15.027589715754887,0.011973876155247254,0.012107402161985803,106.3221204052481,1.1565482100921336,2.190235680348111e-14,2.382489312789795e-16,15.013440926873336,0.011746621876456587,0.011875100311673492,108.01280802603958,1.1476015759045681,2.2250638453364154e-14,2.36405924636341e-16,14.996311858383885,0.011474749887566915,0.011597318873262097,7233.0,8858.664239252159,168.0,136.64949148036294,82.01494249752793,251.5592911343045,138.66164800049677,0.8166343042768771,391.70428466796875,102.1522216796875,297.9632828776326,10.20630462139668,40.1856104369297,32.0
935071249.995,935071349.995,935071300.0053487,935071249.995,935071349.985,105.24717767703135,1.1648224752944447,2.1680918601468456e-14,2.399534299106556e-16,15.02447385359358,0.011950369592383936,0.01208336893243711,106.63859470307256,1.1575258868731197,2.1967550508832947e-14,2.3845033269586267e-16,15.01021396686064,0.011721795780204047,0.011849728756754274,108.32928232386405,1.1485975467429206,2.2315832158715992e-14,2.366110946290416e-16,14.993135335058591,0.011451280930755203,0.011573346384428973,7255.0,8895.205039235563,169.0,137.47544531543315,82.11265549274319,253.07979705795645,138.82685015189767,0.8157821543635455,391.5791931152344,100.57553100585938,299.54285606739745,10.206295992577571,40.18560455349397,32.0
935071349.995,935071449.995,935071399.8974515,935071350.01,935071449.985,105.94326916005785,1.1702522247521712,2.1824313446971916e-14,2.4107195829894726e-16,15.017316574719008,0.011927317441855934,0.01205980131834572,107.56442830734336,1.1617948350249647,2.215827223131273e-14,2.3932973601514273e-16,15.000828316655145,0.011664071823556554,0.011790741070807798,109.25511592813486,1.152908636477255,2.250655388119578e-14,2.374991791143145e-16,14.983895544535978,0.011397143269837429,0.011518051182038747,7318.0,8980.360673323308,181.0,147.8733424315151,82.19624863361413,272.2213803852892,138.96818004035126,0.815052414214183,392.6427307128906,100.03623962402344,300.0539733952199,10.206362521708629,40.18560470311233,32.0
935071449.995,935071549.995,935071500.6626402,935071450.0,935071549.99,105.68249946355877,1.1632947365842763,2.1770594889493107e-14,2.396387157363609e-16,15.019992309774635,0.011885888738497385,0.012017448781186602,106.78634316295391,1.157510257248116,2.1997986691568507e-14,2.3844711299311186e-16,15.008710713498402,0.011705507531852177,0.011833083273595335,108.4770307837454,1.148594057989326,2.2346268341451552e-14,2.3661037594580113e-16,14.991655526886735,0.011435731295048157,0.011557463704519932,7259.0,8919.539807051122,153.0,124.81917214441883,82.22514704364178,229.78074872040736,139.01703822444557,0.8140222033213117,393.6270446777344,100.54021453857422,299.52759082953065,10.206378208455929,40.18563305050497,32.0
935071549.995,935071649.995,935071599.8290399,935071550.0,935071649.98,104.11910919781276,1.1546237555925916,2.1448536494749428e-14,2.3785249365207387e-16,15.03617389049962,0.011973948177402605,0.012107475799419731,105.1811188029959,1.1490173183074432,2.1667310473417154e-14,2.366975675713333e-16,15.02515553485738,0.01179645948446506,0.011926036452017286,106.87180642378739,1.140035154695364,2.2015592123300202e-14,2.3484724186724497e-16,15.00784212447812,0.011520551396358769,0.011644106081289962,7161.0,8787.995241481152,151.0,122.95686051341241,82.22931318886299,226.3524023087819,139.02408187459747,0.8150538830627952,393.19879150390625,101.8299789428711,298.2475781866737,10.206370982700399,40.18560723721837,32.0
935071649.995,935071749.995,935071699.7823972,935071650.01,935071749.985,104.45270701408934,1.1631215618215998,2.1517257644902402e-14,2.3960304173524953e-16,15.032700750720736,0.012023276992401577,0.012157913259178699,106.12166066673262,1.1543579484624078,2.186106209734692e-14,2.37797737383256e-16,15.015489906224005,0.011746523647529372,0.011874999922230955,107.8123482875241,1.14541184652415,2.2209343747229966e-14,2.359548403839749e-16,14.998328735952809,0.011474152912819946,0.011596709077297263,7244.0,8859.590936450968,184.0,149.97046226298485,82.17603156943932,276.08198734776755,138.93399930022215,0.8178047165532668,392.084228515625,101.93791961669922,298.16717324449735,10.20632949962999,40.18565100783384,32.0
935071749.995,935071849.995,935071800.298639,935071750.0,935071849.99,104.26772664586102,1.1603079589883232,2.147915168904737e-14,2.3902343955159456e-16,15.034625238247106,0.012015514377413439,0.012149975875342278,105.75247830417436,1.1524946749951783,2.178501053065992e-14,2.3741390304900674e-16,15.019273615409116,0.011768385614836063,0.011897343190032217,107.44316592496585,1.1435326803704566,2.2133292180542967e-14,2.3556773215631407e-16,15.002053008027113,0.011494581377849755,0.01161757666942087,7201.0,8827.961539724696,174.0,141.72716691874592,82.16401167748354,260.9068300095095,138.91367741768929,0.8159136572029415,391.2176513671875,101.17070770263672,298.95831746658473,10.206382354242473,40.1856209275064,32.0
935071849.995,935071949.995,935071899.854488,935071850.005,935071949.985,102.43865242466293,1.1443846619643918,2.1102362399480564e-14,2.3574324036466473e-16,15.053840358220416,0.012061959512539744,0.012197468395353184,103.31443073290886,1.1397167215983164,2.1282772730979225e-14,2.3478164464925315e-16,15.044597532358782,0.011911754227783788,0.012043890671215252,105.00511835370035,1.1306507635255865,2.1631054380862273e-14,2.329140572862708e-16,15.026973828072965,0.011628256542277171,0.011754144886248596,7022.0,8625.096779267631,141.0,114.51349477413808,82.13977484616287,210.80893356148144,138.8727005070082,0.8143200491609085,391.4969787597656,99.90422821044922,300.2162114479796,10.20635291529182,40.18556220027364,32.0
935071949.995,935072049.995,935071999.8653104,935071950.02,935072049.985,104.73098291093741,1.1631346667779523,2.1574582479653108e-14,2.3960574135625817e-16,15.029812051372756,0.011991640628862044,0.012125565348396705,106.22025496298336,1.1553119348562262,2.1881372522374572e-14,2.379942585803826e-16,15.014481651170854,0.011745325514821658,0.01187377543840995,107.91094258377485,1.1463665253829396,2.222965417225762e-14,2.3615150422888553e-16,14.997336284891606,0.011473229036502275,0.011595765360237209,7216.0,8861.02537591314,174.0,141.84295303575328,82.11424313186802,261.11998172490945,138.82953435371232,0.81455506884945,392.5202941894531,99.73554992675781,300.3575968355035,10.206351248083012,40.185617637053305,32.0
